Image ID,Orientation,Side body area[mm2],Standard length[mm],Myotome length[mm],Myotome height[mm],Side yolk area[mm2],Eye area[mm2],Eye max diameter[mm],Eye min diameter[mm],Ventral body area[mm2],Ventral body length[mm],Ventral body width[mm],Ventral yolk area[mm],Number of lipids,Total lipid area [mm2]
LUS_0019,side,6.233103020235303,7.14162928217847,7.3618757685158265,0.7736262925882137,2.1972325918894495,0.30935278064274696,0.6682692947735435,0.5905352868004471,0,0,0,0,0,0
LUS_0020,side,6.251777548580243,7.082776621331479,7.313034311593259,0.774003740335297,2.180511313332299,0.3118262885515831,0.6683123296686422,0.5949750940528028,0,0,0,0,0,0
LUS_0021,side,6.300152426502131,6.974119485033613,7.256935995898629,0.8066465256797583,2.279479011692117,0.3113607944432782,0.6795674357381215,0.5842325494812616,0,0,0,0,0,0
LUS_0022,side,6.441352306021304,7.11012956353439,7.312856443004001,0.8187311178247734,2.585783262292239,0.3112238844114238,0.6783547342936845,0.5846133085748217,0,0,0,0,0,0
LUS_0023,side,6.634824435702486,7.282157133011592,7.4423363958023945,0.8672010595247024,2.5793302361241683,0.30124770675696644,0.6801031303279237,0.5649452305718627,0,0,0,0,0,0
LUS_0024,side,6.256888856436141,6.8705784640709515,7.125864164143797,0.8214245392339893,2.2525351174231707,0.31392557570668395,0.6818631479406104,0.5867487187540865,0,0,0,0,0,0
LUS_0025,side,6.3686530791066165,7.168101819781991,7.425890320835941,0.8254426641881724,2.4133678955102638,0.3105758435939796,0.6716382306657861,0.5894144228636785,0,0,0,0,0,0
LUS_0026,side,6.354323162439189,7.15058221291425,7.405867912987098,0.829386301257619,2.401045992643368,0.3103932968848404,0.6694430581282493,0.5909373278734612,0,0,0,0,0,0
LUS_0027,side,4.492803095992187,5.52509405603674,6.2584147435009045,0.13900564435440896,1.2893365339856335,0.18509323573169284,0.6292670506246871,0.38391026734966177,0,0,0,0,0,0
LUS_0029,side,6.59454550433092,6.610781312031493,7.276526373005781,0.2577908638065479,1.7784704411241226,0,0,0,0.8716590165060324,1.2578107121220734,0.892342533849016,0.4118109132116939,1,0.11166182092900803
LUS_0031,side,6.505207144878196,6.12308823991309,6.883939738169418,0.22334029701844377,1.8049397139493069,0,0,0,0.8855022778782538,1.271768467826413,0.8964848595615924,0.4155897300885969,1,0.10776138366795632
LUS_0032,ventral,0,0,0,0,0,0,0,0,2.366105972848607,2.108937281272867,1.4368242469623427,1.124058515143884,1,0.27918746136764266
LUS_0034,ventral,0,0,0,0,0,0,0,0,2.2008997046770906,1.9937131538543391,1.418272566016295,1.084659233991896,1,0.2905983150568897
LUS_0035,ventral,0,0,0,0,0,0,0,0,2.202234667246629,1.995570868391071,1.4174958638152872,1.061110665964607,1,0.2848764336897049
LUS_0036,ventral,0,0,0,0,0,0,0,0,2.2013861862136856,1.994143058357205,1.4181887491790082,1.0431108491105974,1,0.28052671642132737
